query_no,query,author,doc_no,Melanie,Manushi,Nidhi,Final
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Centre_for_the_Study_of_the_Causes_of_the_War,2,2,1,2
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Germany%27s_Aims_in_the_First_World_War,0,2,0,2
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/List_of_recessions_in_the_United_Kingdom,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Chemical_weapons_in_World_War_I,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Use_of_poison_gas_in_World_War_I,0,0,0,0
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/Use_of_poison_gas_in_World_War_I,0,0,0,0
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/Chemical_weapons_in_World_War_I,0,0,0,0
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/Poison_gas_in_World_War_I,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Environmental_issues_with_war,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Environmental_impact_of_war,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Casus_belli,1,1,1,1
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/German_Armed_Forces_casualties_in_Afghanistan,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/World_War_Hulk,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Customs_war,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Trade_war,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Tariff_war,0,0,0,0
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/World_War_Hulk,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/People%27s_Freedom_Union,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/World_War_III_in_popular_culture,0,0,0,0
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/Tug_of_war,0,0,0,0
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/Tug_Of_War,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Material_World_Charitable_Foundation,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/German_White_Book,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/The_German_White_Book,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/List_of_air_operations_during_the_Battle_of_Europe,0,0,0,0
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/Casus_belli,1,1,0,1
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/List_of_air_operations_during_the_Battle_of_Europe,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/War_of_the_Gods_(comics),0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Portugal_during_World_War_I,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Portugal_in_World_War_I,0,0,0,0
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/War_of_the_Gods_(comics),0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/War_Guilt_Clause,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/War_guilt,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Article_231_of_the_Treaty_of_Versailles,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/United_Daughters_of_the_Confederacy,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Camps_for_Russian_prisoners_and_internees_in_Poland_(1919%E2%80%931924),0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Camps_for_Russian_prisoners_and_internees_in_Poland_(1919%E2%80%9324),0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Camps_for_Russian_prisoners_and_internees_in_Poland_(1919-1924),0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/History_of_Poland_during_World_War_I,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/World_War_II_casualties,0,1,2,2
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/War_Comes_to_America,0,0,1,1
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/War_Comes_to_America,0,0,1,1
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Aircraft_losses_of_the_Vietnam_War,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/List_of_aircraft_losses_of_the_Vietnam_War,0,0,0,0
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/List_of_recessions_in_the_United_States,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/The_New_World_Order_(Wells_book),0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/The_New_World_Order_(Wells),0,0,0,0
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/Battle_damage_assessment,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Second_Thirty_Years%27_War,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Second_Thirty_Years_War,0,0,0,0
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/Aircraft_losses_of_the_Vietnam_War,0,0,0,0
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/List_of_aircraft_losses_of_the_Vietnam_War,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/List_of_ongoing_military_conflicts,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Bombing_of_Palestine_in_World_War_II,1,1,1,1
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/Environmental_impact_of_war,0,0,0,0
151801,what caused world war 2,Melanie,http://en.wikipedia.org/wiki/Environmental_issues_with_war,0,0,0,0
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Battleships_in_World_War_II,0,1,2,2
151801,what caused world war 2,Melanie,https://en.wikipedia.org/wiki/Prelude_to_War,0,0,0,0
